"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6734","User cannot login with invalid credentials","chromium","2026-06-01","passed","2026-06-01","Login Tests","login.spec.ts","",""
"","5057","GreenCity homepage loads with logo and correct title","chromium","2026-06-01","passed","2026-06-01","Home Page","home.spec.ts","",""
"","6068","authenticate","setup","2026-06-01","passed","2026-06-01","","auth.setup.ts","",""
"","3930","TC-01.3 Tags can be selected and deselected","chromium","2026-06-01","passed","2026-06-01","TC-01 — Create News Form Layout and Behavior","TC-01.spec.ts","",""
"","3361","Profile layout shows user info, achievements, friends, and places","chromium","2026-06-01","passed","2026-06-01","Profile Page","profile.spec.ts","",""
"","3697","Verify Title validation, character counter, and Publish button behavior","chromium","2026-06-01","failed","2026-06-01","TC-02 — Title field validation and Publish button state","TC-02.spec.ts","",""
"","3430","TC-01.4 Character counters and placeholders","chromium","2026-06-01","passed","2026-06-01","TC-01 — Create News Form Layout and Behavior","TC-01.spec.ts","",""
"","2797","TC-03.3 Fourth tag cannot be selected","chromium","2026-06-01","passed","2026-06-01","TC-03 — Publish and Tag Limits","TC-03.spec.ts","",""
"","3047","Right column widgets display correctly","chromium","2026-06-01","passed","2026-06-01","Profile Page","profile.spec.ts","",""
"","2956","Dashboard tabs navigate to My News with Add button","chromium","2026-06-01","passed","2026-06-01","Profile Page","profile.spec.ts","",""
"","4573","The ""Edit news"" button is displayed for the author","chromium","2026-06-01","passed","2026-06-01","TC-09 — Verify Edit News button visible to the author","TC-09.spec.ts","",""
"","3611","TC-07.1 Cancel → ""Yes, cancel"" closes form and redirects to news page","chromium","2026-06-01","passed","2026-06-01","TC-07 — Cancel Confirmation Modal","TC-07.spec.ts","",""
"","4234","TC-01.1 Verify all form fields are present in correct order","chromium","2026-06-01","failed","2026-06-01","TC-01 — Create News Form Layout and Behavior","TC-01.spec.ts","",""
"","3184","TC-01.2 Author and Date are pre-filled and read-only","chromium","2026-06-01","passed","2026-06-01","TC-01 — Create News Form Layout and Behavior","TC-01.spec.ts","",""
"","4882","TC-03.2 Publish news with 3 tags and verify","chromium","2026-06-01","passed","2026-06-01","TC-03 — Publish and Tag Limits","TC-03.spec.ts","",""
"","3787","TC-07.2 ""Continue editing"" dismisses modal and keeps form open with existing data","chromium","2026-06-01","passed","2026-06-01","TC-07 — Cancel Confirmation Modal","TC-07.spec.ts","",""
"","4738","TC-03.1 Publish news with 1 tag and verify","chromium","2026-06-01","passed","2026-06-01","TC-03 — Publish and Tag Limits","TC-03.spec.ts","",""
