"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2742","TC-07.2 ""Continue editing"" dismisses modal and keeps form open with existing data","chromium","2026-06-02","passed","2026-06-02","TC-07 — Cancel Confirmation Modal","TC-07.spec.ts","",""
"","3078","TC-03.2 Publish news with 3 tags and verify","chromium","2026-06-02","passed","2026-06-02","TC-03 — Publish and Tag Limits","TC-03.spec.ts","",""
"","2031","TC-01.2 Author and Date are pre-filled and read-only","chromium","2026-06-02","passed","2026-06-02","TC-01 — Create News Form Layout and Behavior","TC-01.spec.ts","",""
"","2881","Verify Title validation, character counter, and Publish button behavior","chromium","2026-06-02","failed","2026-06-02","TC-02 — Title field validation and Publish button state","TC-02.spec.ts","",""
"","2161","TC-01.3 Tags can be selected and deselected","chromium","2026-06-02","passed","2026-06-02","TC-01 — Create News Form Layout and Behavior","TC-01.spec.ts","",""
"","2106","Right column widgets display correctly","chromium","2026-06-02","passed","2026-06-02","Profile Page","profile.spec.ts","",""
"","3784","GreenCity homepage loads with logo and correct title","chromium","2026-06-02","passed","2026-06-02","Home Page","home.spec.ts","",""
"","3055","TC-07.1 Cancel → ""Yes, cancel"" closes form and redirects to news page","chromium","2026-06-02","passed","2026-06-02","TC-07 — Cancel Confirmation Modal","TC-07.spec.ts","",""
"","2791","TC-01.1 Verify all form fields are present in correct order","chromium","2026-06-02","failed","2026-06-02","TC-01 — Create News Form Layout and Behavior","TC-01.spec.ts","",""
"","2253","Profile layout shows user info, achievements, friends, and places","chromium","2026-06-02","passed","2026-06-02","Profile Page","profile.spec.ts","",""
"","1878","TC-01.4 Character counters and placeholders","chromium","2026-06-02","passed","2026-06-02","TC-01 — Create News Form Layout and Behavior","TC-01.spec.ts","",""
"","4662","authenticate","setup","2026-06-02","passed","2026-06-02","","auth.setup.ts","",""
"","2211","Dashboard tabs navigate to My News with Add button","chromium","2026-06-02","passed","2026-06-02","Profile Page","profile.spec.ts","",""
"","2957","The ""Edit news"" button is displayed for the author","chromium","2026-06-02","passed","2026-06-02","TC-09 — Verify Edit News button visible to the author","TC-09.spec.ts","",""
"","4730","User cannot login with invalid credentials","chromium","2026-06-02","passed","2026-06-02","Login Tests","login.spec.ts","",""
"","7166","Verify that the Preview page displays the entered news content correctly and a ""Back to editing"" link is available","chromium","2026-06-02","failed","2026-06-02","TC-08 - User can preview news content on Preview page","TC-08.spec.ts","",""
"","3169","TC-03.1 Publish news with 1 tag and verify","chromium","2026-06-02","passed","2026-06-02","TC-03 — Publish and Tag Limits","TC-03.spec.ts","",""
"","2024","TC-03.3 Fourth tag cannot be selected","chromium","2026-06-02","passed","2026-06-02","TC-03 — Publish and Tag Limits","TC-03.spec.ts","",""
