"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6201","The author can edit their own news post","chromium","2026-06-04","passed","2026-06-04","TC-10 - Verify that the author can edit their own news","TC-10.spec.ts","",""
"","3522","User cannot login with invalid credentials","chromium","2026-06-04","passed","2026-06-04","Login Tests","login.spec.ts","",""
"","3420","TC-05.02: The ""Main Text"" field allows a maximum of 63,206 characters","chromium","2026-06-04","failed","2026-06-04","TC-05 - Verify the validation of the Main Text field","TC-05.spec.ts","",""
"","2115","TC-01.4 Character counters and placeholders","chromium","2026-06-04","passed","2026-06-04","TC-01 — Create News Form Layout and Behavior","TC-01.spec.ts","",""
"","2176","TC-05.01: The ""Main Text"" field requires a minimum of 20 characters","chromium","2026-06-04","failed","2026-06-04","TC-05 - Verify the validation of the Main Text field","TC-05.spec.ts","",""
"","2490","Verify Title validation, character counter, and Publish button behavior","chromium","2026-06-04","failed","2026-06-04","TC-02 — Title field validation and Publish button state","TC-02.spec.ts","",""
"","2028","Profile layout shows user info, achievements, friends, and places","chromium","2026-06-04","passed","2026-06-04","Profile Page","profile.spec.ts","",""
"","3014","TC-03.1 Publish news with 1 tag and verify","chromium","2026-06-04","passed","2026-06-04","TC-03 — Publish and Tag Limits","TC-03.spec.ts","",""
"","3046","TC-01.1 Verify all form fields are present in correct order","chromium","2026-06-04","failed","2026-06-04","TC-01 — Create News Form Layout and Behavior","TC-01.spec.ts","",""
"","3285","TC-05.03: Publish the news with valid content","chromium","2026-06-04","passed","2026-06-04","TC-05 - Verify the validation of the Main Text field","TC-05.spec.ts","",""
"","2503","TC-07.2 ""Continue editing"" dismisses modal and keeps form open with existing data","chromium","2026-06-04","passed","2026-06-04","TC-07 — Cancel Confirmation Modal","TC-07.spec.ts","",""
"","2832","TC-07.1 Cancel → ""Yes, cancel"" closes form and redirects to news page","chromium","2026-06-04","passed","2026-06-04","TC-07 — Cancel Confirmation Modal","TC-07.spec.ts","",""
"","2589","TC-01.3 Tags can be selected and deselected","chromium","2026-06-04","passed","2026-06-04","TC-01 — Create News Form Layout and Behavior","TC-01.spec.ts","",""
"","2161","Dashboard tabs navigate to My News with Add button","chromium","2026-06-04","passed","2026-06-04","Profile Page","profile.spec.ts","",""
"","5596","authenticate","setup","2026-06-04","passed","2026-06-04","","auth.setup.ts","",""
"","2337","TC-01.2 Author and Date are pre-filled and read-only","chromium","2026-06-04","passed","2026-06-04","TC-01 — Create News Form Layout and Behavior","TC-01.spec.ts","",""
"","2062","TC-03.3 Fourth tag cannot be selected","chromium","2026-06-04","passed","2026-06-04","TC-03 — Publish and Tag Limits","TC-03.spec.ts","",""
"","3203","GreenCity homepage loads with logo and correct title","chromium","2026-06-04","passed","2026-06-04","Home Page","home.spec.ts","",""
"","2157","Right column widgets display correctly","chromium","2026-06-04","passed","2026-06-04","Profile Page","profile.spec.ts","",""
"","3158","The ""Edit news"" button is displayed for the author","chromium","2026-06-04","passed","2026-06-04","TC-09 — Verify Edit News button visible to the author","TC-09.spec.ts","",""
"","7724","Verify that the Preview page displays the entered news content correctly and a ""Back to editing"" link is available","chromium","2026-06-04","failed","2026-06-04","TC-08 - User can preview news content on Preview page","TC-08.spec.ts","",""
"","3369","TC-03.2 Publish news with 3 tags and verify","chromium","2026-06-04","passed","2026-06-04","TC-03 — Publish and Tag Limits","TC-03.spec.ts","",""
